id,sku,name,day_ago_created,short_description,price,list_price,price_usd,all_time_quantity_sold,discount,discount_rate,review_count,rating_average,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,categories_id,categories_name
148676877,2675571656415,"Áo Hoodie Nỉ Bông SuzaSport MISRACLEN Chất Liệu Cao Cấp ba màu xanh đen xám Phong Cách Hàn Quốc cá tính dày dặn kèm ảnh thật  unisex dài tay nam nữ  có mũ basic thời trang thu đông, Áo Khoác hoodie Chống nắng mặc ấm",773,"NAM NỮ COUPLE ĐỀU MẶC ĐƯỢC, HÀNG BÁN SHOP STORE DÀY DẶN HÌNH THẬT (ĐỪNG SO SÁNH VỚI HÀNG GIÁ RẺ NHÉ KHÁCH ƠI!!!)* Chất liệu: Thun Nỉ cao cấp mềm mịn, co giản tốt, from chuẩn, không xù, thấm hút mồ hô...",99000,99000,,,0,0,0,0.0,,available,,1000,1000,,740219,Jinrinteen,49510,Áo hoodies nam vải da cá
11868704,1326142566204,Áo khoác Hoodie Unisex Form Rộng HH3,1771,"Giới thiệu sản phẩm Thời Trang THÔNG TIN SẢN PHẨMNỉ Ngoại Cao Cấp,Thiết Kế Mới Nhất. Không nhăn, không xù, không bai, không phai màu.Ảnh chụp thật 100% không chỉnh sửa.Quý khách được xem áo trước...",79000,79000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,914,Thời Trang
53707937,4102540826624,Aó khoác nam HOODIE AKN472,1363,"    Kiểu dáng không bị lỗi thời.    Màu sắc trang nhã mà vẫn giúp bạn nổi bật.   Đường may tỉ mỉ, tinh tế.   Với chiếc áo này, bạn có thể mặc bất cứ khi nào: đi chơi, dạo phố, dã ngoại…Dễ phối đ...",62000,62000,,2.0,0,0,1,4.0,,available,,1000,1000,,144467,Titishop,2,Root
68977621,7178880750445,Áo Sweater Tay Dài From Rộng Nam GOAT MENSWEAR,1205,"- Áo Sweater Tay Dài From Rộng Nam- SHOP VỀ ĐỦ SIZE, MÀU SẮC Y HÌNH- Sản phẩm được chụp trong studio nên 100% giống hình- Xuất xứ: Việt Nam- Chất liệu nỉ ngoại mềm mịn dày dặn, co giãn, thông thoáng...",590000,590000,,1.0,0,0,0,0.0,,available,,1000,1000,,111461,OEM,914,Thời Trang
53707901,1017092133911,Aó khoác nam HOODIE AKN475,1364,"    Kiểu dáng không bị lỗi thời.    Màu sắc trang nhã mà vẫn giúp bạn nổi bật.   Đường may tỉ mỉ, tinh tế.   Với chiếc áo này, bạn có thể mặc bất cứ khi nào: đi chơi, dạo phố, dã ngoại…Dễ phối đ...",69000,69000,,1.0,0,0,1,5.0,,available,,1000,1000,,144467,Titishop,2,Root
146645989,9827669888329,"Áo hoodie đôi,áo khoác nỉ,in hình Gấu Com'on siêu đẹp form rộng dành cho nam,nữ mặc mùa thu đông và chống nắng trong Nam",577,"  Áo hoodie đôi,áo khoác nỉ,in hình Gấu Com'on siêu đẹp form rộng dành cho nam,nữ mặc mùa thu đông và chống nắng trong Nam   Chất Liệu Vải Nỉ PE chính phẩm, in hình sắc nét   Form rộng Unisex thích...",136000,136000,,,0,0,0,0.0,,available,,1000,1000,,505595,VONESA,49510,Áo hoodies nam vải da cá
73157754,1102169133854,Áo Sweater Áo nỉ da cá cổ tròn xuất Nhật chất cotton 100%,1158,"ÁO SWEATER - ÁO NỈ CỔ TRÒN XUẤT NHẬT CHẤT COTTON DÀY DẶNHàng chuẩn xịn nên form dáng đẹp, chuẩn từng đường kim mũi chỉ.Vải nỉ da cá, chất cotton 100%. Không bai rão và xù lên như vải pha.Cotton Nh...",92000,92000,,5.0,0,0,0,0.0,,available,,1000,1000,,111461,OEM,915,Thời trang nam
72210902,8874137416209,Áo hoodie nam nữ chất nỉ phong cách,1176,"Thiết kế phong cách đường may tỉ mỉ.Áo thiết kế form vừa vặn giúp tôn được đường nét phong cách của các tính đồ yêu phong cách bụiMàu sắc tinh tế phối với họa tiết nổi bật, mang đến sự thanh lịch, c...",144000,144000,,1.0,0,0,0,0.0,,available,,1000,1000,,505595,VONESA,931,Thời trang nữ
12012841,9876661690550,Áo Khoác Hoodie Nam Trơn,1769,"Áo Khoác Hoodie Nam Trơn được thiết kế nổi bật với áo hoodie phối màu tạo điểm nhấn, quần dài tôn nét nam tính và thân hình vạm vỡ.Thích hợp diện tập thể thao, đi dạo.Chất liệu: Thun nỉ, dày dặn, hú...",95000,95000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,2,Root
271333202,1029285062454,"ÁO KHOÁC HOODIE  NỈ BÔNG CAO CẤP VẢI ĐẸP MỀM MỊN CÓ NÓN ÉP HÌNH GẤU, ÁO THUN TAY DÀI CÓ NÓN",153,Với 3 năm kinh nghiệm trong việc kinh doanh các mặt hàng thời trang Unisex. shop luôn mong muốn gửi đến tay khách hàng những sản phẩm Tốt và hợp túi Tiền nhất.  Khi mua hàng tại shop bạn được gì : ...,125000,125000,,,0,0,0,0.0,,available,,1000,1000,,4048625,NIU24,49514,Áo hoodies nam vải cotton
